"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gene_1",43.983901662087,-0.885932103857506,1.05327493364991,-0.841121416217025,0.400279918512661,0.897847051694411
"Gene_2",76.7675859327232,0.393600298782128,1.35559501266783,0.290352424657803,0.771546636251774,0.974794190913974
"Gene_3",32.0107476555704,-0.801182094554459,1.00983819299193,-0.793376701450294,0.427558380831778,0.906186537392152
"Gene_4",136.50356103316,-0.663705769375665,0.969988767812521,-0.6842406751497,0.493823201373888,0.927538025588288
"Gene_5",60.3667699531269,0.521449589354612,1.03067628429753,0.505929550625115,0.612906106627788,0.972903117694105
"Gene_6",92.0011217057241,0.562116463946967,0.877243813913886,0.640775637321447,0.521668463727454,0.94503680199905
"Gene_7",122.491869020259,0.827036263475871,1.15678052154943,0.71494656771028,0.474642060540803,0.925616820482336
"Gene_8",67.6824407445204,1.75958659938699,1.20598317533185,1.45904738588314,0.144552065911763,0.71395089817012
"Gene_9",121.540350314178,1.23066138939742,1.24777534563093,0.986284425082259,0.323993560437621,0.870026289315782
"Gene_10",43.5846299313222,1.39206431615227,1.11364196540495,1.25001064920006,0.2112956572263,0.784840769553019
"Gene_11",75.0212419408985,0.772268018512686,1.15525937563447,0.668480200031749,0.503827116635744,0.932413510749326
"Gene_12",152.836812317064,-0.126206655491764,1.0908815776366,-0.115692352019723,0.907896367754019,0.993271027420616
"Gene_13",52.4064917530438,0.275876090600056,1.23143461226006,0.224028208930833,0.822735353475983,0.979458048814083
"Gene_14",25.5635314798289,1.89061864206616,1.08140029401127,1.74830601816579,0.0804110517011497,0.619861571775004
"Gene_15",144.16237774065,-0.467680252235026,1.05079530189985,-0.445072652484699,0.656267251268981,0.972903117694105
"Gene_16",42.2884491129138,-1.3112061557507,2.1866311310701,-0.599646706350978,0.548741712723949,0.966430682602902
"Gene_17",76.479661010845,1.84694316547775,0.938242559963121,1.96851352122669,0.049008981913459,0.527982889629865
"Gene_18",64.5566772271985,-0.0637070573270437,1.04847320673788,-0.0607617408987074,0.951548960334341,0.99441434400123
"Gene_19",146.468054183348,-0.830056764164242,1.19914953758527,-0.692204548429992,0.488808882726627,0.925616820482336
"Gene_20",104.585771885528,2.58841591639697,1.23593691775922,2.09429452199698,0.0362337520289219,0.516420458943319
"Gene_21",79.4340655344976,-0.571644042103507,1.15604528093654,-0.494482397471839,0.620965534831359,0.972903117694105
"Gene_22",42.3467941534229,-2.19752236465598,0.906742948786879,-2.42353399890897,0.0153703144481128,0.339738804722683
"Gene_23",86.2263231101589,0.898798523087938,1.15945331417569,0.775191646010292,0.43822642384529,0.9098532996861
"Gene_24",120.948982143487,-0.835322378432087,0.896710409620668,-0.931540851394209,0.351573863245538,0.885427098471699
"Gene_25",137.67109757281,0.00114349532781108,0.983532608526667,0.00116264099217212,0.999072346911579,0.999072346911579
"Gene_27",56.8262623265113,1.32979207239551,1.01688489087149,1.30771150631991,0.190971179131733,0.748309102399613
"Gene_28",83.7320109732116,-1.34973837887215,1.13738586831553,-1.18670225863727,0.235345083819392,0.808076908915263
"Gene_29",120.264798625915,2.47869505604125,1.2827111461818,1.93238755538961,0.0533116888867772,0.532572892042397
"Gene_30",48.8625505051138,0.092109388174031,1.13687951518003,0.0810194809073017,0.935426459910132,0.99441434400123
"Gene_31",97.1647039384569,0.404385727818543,0.931496893238098,0.43412461249635,0.664197953482288,0.972903117694105
"Gene_32",64.141284251844,-2.8496395899658,1.3509286669613,-2.10939308614689,0.0349106657837509,0.516420458943319
"Gene_33",51.7090207670964,0.723749912058195,0.978848093428617,0.739389407730379,0.459670572323609,0.922670528627198
"Gene_34",74.4628290697563,0.956886815610815,1.09396860730962,0.87469312118935,0.381740903951162,0.890404371972512
"Gene_35",63.0373113788211,0.999289243723829,1.02900267379176,0.971124049699075,0.331486509047614,0.872379818165629
"Gene_36",83.8479729981154,-0.732942299936464,1.40934036989101,-0.520060530156491,0.603021387145242,0.972903117694105
"Gene_37",119.825974180178,0.0589908874009935,1.05908181370006,0.0557000286832423,0.955580776653749,0.99441434400123
"Gene_38",76.8588252710713,0.89371350894545,0.949816442673732,0.940932867438731,0.346739263046702,0.885427098471699
"Gene_39",105.484750251362,0.114300074904551,0.997747540425012,0.114558112421768,0.908795382496021,0.993271027420616
"Gene_40",87.3795594235683,1.18907148521715,0.981008314177537,1.21209113932337,0.225477495151501,0.804149583584921
"Gene_41",223.059696362467,-1.30175298301275,1.35348053344784,-0.961781829027624,0.336159207578586,0.877360683073667
"Gene_42",46.1146363311159,-0.699372647929065,1.03063878863441,-0.67858172585929,0.497402924855823,0.927538025588288
"Gene_43",136.259095483046,-2.23071520341298,1.0908858862585,-2.0448657659912,0.0408680938089112,0.519608621284728
"Gene_44",57.2503472330912,-1.4503834959999,0.975291672461407,-1.48712794023912,0.136981023400174,0.703036698514034
"Gene_45",90.1803646091021,0.034322383021199,0.959903315777866,0.0357560834065727,0.97147685102036,0.99441434400123
"Gene_46",29.9465776528561,0.477635308482739,1.35266917677609,0.353105782761398,0.72400913776632,0.972903117694105
"Gene_47",40.1546153598362,-1.37206866226617,0.982387290281771,-1.39666776620515,0.162513501637714,0.71991275159874
"Gene_48",104.617250655521,0.861123687196781,1.02436135511785,0.840644449240972,0.400547149618031,0.897847051694411
"Gene_49",154.407308201791,-0.161836562395299,1.37373975475052,-0.11780729343797,0.906220350466335,0.993271027420616
"Gene_50",81.5123244811398,0.344725177119836,1.32166022240995,0.260827383070707,0.794225626530077,0.975546205595883
"Gene_51",114.456797295899,2.26666209117155,1.13504468953018,1.99698048198417,0.045827303299748,0.527982889629865
"Gene_52",108.188013739751,-0.383261343632414,0.980094910139062,-0.391045132127086,0.695763875988465,0.972903117694105
"Gene_53",58.6890599369689,0.637308644683546,1.04079729005622,0.612327348247726,0.540321198992394,0.96388385650454
"Gene_54",159.077263601951,-0.557535597064252,1.05143006165123,-0.530264082604473,0.595928845775341,0.972903117694105
"Gene_56",145.633571458562,1.09795103001813,1.16272176329086,0.944293866927016,0.345019499151141,0.885427098471699
"Gene_57",50.0074328985032,-1.24115204959352,0.947920570289395,-1.30934182514322,0.190418587880383,0.748309102399613
"Gene_58",54.4060487983037,0.624606437382374,1.08004605449717,0.578314632771069,0.56305171698816,0.970275482920882
"Gene_59",61.5803309845191,0.210660750392295,1.00882311827514,0.208818321642428,0.834590068024905,0.981441791737702
"Gene_60",75.7636997121305,-1.01025177651045,1.03276497265046,-0.978201045991879,0.327974899239551,0.870026289315782
"Gene_61",73.9740708512765,0.31565472719602,0.85415795519297,0.369550766666697,0.711717240453975,0.972903117694105
"Gene_62",81.3094155026098,-0.137651283282564,0.967345057077498,-0.142298016902501,0.886844612869948,0.993271027420616
"Gene_63",89.5083118975318,2.25286882249146,1.04502822142391,2.15579711275337,0.0310995110393001,0.491362292209963
"Gene_64",30.9779696979693,0.192719317086656,1.06135544814362,0.181578487606329,0.855913532580919,0.990077874721829
"Gene_65",131.081844079411,1.22698003980088,1.25446833519174,0.978087692913627,0.328030954218565,0.870026289315782
"Gene_66",64.5818808610613,0.399621813027822,1.00903674118341,0.396042876059342,0.692073398230804,0.972903117694105
"Gene_67",125.599746034307,-0.837575838772594,2.40168240845204,-0.348745461025564,0.727280411414522,0.972903117694105
"Gene_68",51.2333107536453,-0.252647835631579,1.13926115818705,-0.22176463562896,0.824497110655813,0.979590620548593
